серия T;ПРОИЗВОДИТЕЛЬ;РАЗМЕРЫ Ш*В*Г;ЦЕНА В ЕВРО НДС;Дополнительно к шкафу панель нижняя или боковые стенки;ТЕРМОСТАТ DBK охлождение;ТЕРМОСТАТ DBK ОБОГРЕВ;ОБОГРЕВ по мощности см.артикул послед 2-3 цифры;РЕШЕТКА ФИЛЬТР DBK;Вентилятор N/N;Железная решотка защита вентилятора;Розетка на Din реку;Автомат на Din реку;Клейммы;DIN рейка +метизы;Утеплитель;ЦЕНА В ЕВРО ЗАКУПКА;ЦЕНА В РУБ. ЗАКУПКА;ЦЕНА В ЕВРО РОЗНИЦА;ЦЕНА В РУБ. Розница;;;КУРС ЕВРО
;Риттал;600x760x350;150,80 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;15,84 €;280,64 €;18 241,86 ?;505,16 €;32 835,35 ?;;;
;;400x600x400;;;11,00 €;11,00 €;;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;10,88 €;55,88 €;3 632,20 ?;100,58 €;6 537,96 ?;;;
;ВЭ;600x600x400;107,17 €;;11,00 €;11,00 €;28,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;14,28 €;194,45 €;12 639,25 ?;350,01 €;22 750,65 ?;;;
;Риттал;600x800x400+панель основания;184,15 €;51,42 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;17,68 €;367,25 €;23 871,25 ?;661,05 €;42 968,25 ?;;;
;Риттал;600x1000x400+панель основания;223,05 €;51,42 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;21,08 €;409,55 €;26 620,75 ?;737,19 €;47 917,35 ?;;;
;Риттал;600x1200x400;250,00 €;51,42 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;24,48 €;439,90 €;28 593,50 ?;791,82 €;51 468,30 ?;;;
;Риттал;600x1800x400+боковые стенки;385,60 €;84,96 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;34,68 €;619,24 €;40 250,60 ?;1 114,63 €;72 451,08 ?;;;
;Риттал;800x800x400+глухая панель;264,60 €;55,73 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;21,76 €;456,09 €;29 645,85 ?;820,96 €;53 362,53 ?;;;
;Риттал;800x1000x400+глухая панель;264,60 €;55,73 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;25,84 €;460,17 €;29 911,05 ?;828,31 €;53 839,89 ?;;;
;Риттал;800x1200x400+глухая панель;263,25 €;55,73 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;29,92 €;462,90 €;30 088,50 ?;833,22 €;54 159,30 ?;;;
;Риттал;800x1800x400 +боковые стенки;437,00 €;84,95 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;42,16 €;678,11 €;44 077,15 ?;1 220,60 €;79 338,87 ?;;;
;Риттал;1000x1200x400+глухая панель;369,85 €;60,04 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;35,36 €;579,25 €;37 651,25 ?;1 042,65 €;67 772,25 ?;;;
;Риттал;1000x1400x400+глухая панель;469,00 €;60,04 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;40,12 €;683,16 €;44 405,40 ?;1 229,69 €;79 929,72 ?;;;
;Риттал;1000x1800x400 +боковые стенки;573,66 €;84,95 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;49,64 €;893,25 €;58 061,25 ?;1 607,85 €;104 510,25 ?;;;
;Риттал;1200x1200x400+глухая панель;413,04 €;64,24 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;40,80 €;632,08 €;41 085,20 ?;1 137,74 €;73 953,36 ?;;;
;Риттал;1200x1800x400+боковые стенки;597,37 €;84,96 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;57,12 €;924,45 €;60 089,25 ?;1 664,01 €;108 160,65 ?;;;
;Риттал;1600x1800x400;805,18 €;;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;72,08 €;1 062,26 €;69 046,90 ?;1 912,07 €;124 284,42 ?;;;
;Риттал;600x1200x500+боковые стенки;377,03 €;83,69 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;27,54 €;602,26 €;39 146,84 ?;1 084,07 €;70 464,30 ?;;;
;Риттал;600x1400x500+боковые стенки;386,93 €;79,90 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;31,28 €;612,11 €;39 787,15 ?;1 101,80 €;71 616,87 ?;;;
;Риттал;600x1600x500+боковые стенки;403,30 €;88,40 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;35,02 €;640,72 €;41 646,80 ?;1 153,30 €;74 964,24 ?;;;
;Риттал;600x2000x500+боковые стенки;423,49 €;100,65 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;42,50 €;680,64 €;44 241,60 ?;1 225,15 €;79 634,88 ?;;;
;Риттал;800x1200x500+боковые стенки;410,11 €;83,68 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;33,32 €;641,11 €;41 672,15 ?;1 154,00 €;75 009,87 ?;;;
;Риттал;800x1400x500+боковые стенки;418,84 €;79,90 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;37,74 €;650,48 €;42 281,20 ?;1 170,86 €;76 106,16 ?;;;
;Риттал;800x1600x500+боковые стенки;435,19 €;88,40 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;42,16 €;679,75 €;44 183,75 ?;1 223,55 €;79 530,75 ?;;;
;Риттал;800x2000x500+боковые стенки;452,43 €;100,65 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;51,00 €;789,08 €;51 290,20 ?;1 420,34 €;92 322,36 ?;;;
;Риттал;1200x1200x500+боковые стенки;576,62 €;83,68 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;44,88 €;819,18 €;53 246,70 ?;1 474,52 €;95 844,06 ?;;;
;Риттал;1200x1400x500+боковые стенки;589,67 €;79,90 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;50,66;905,23 €;58 839,95 ?;1 629,41 €;105 911,91 ?;;;
;Риттал;1200x1600x500+боковые стенки;619,62 €;88,40 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;56,44 €;949,46 €;61 714,90 ?;1 709,03 €;111 086,82 ?;;;
;Риттал;1800x2000x500;1 009,75 €;;11,00 €;11,00 €;180,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;93,50 €;1 328,25 €;86 336,25 ?;2 390,85 €;155 405,25 ?;;;
;Риттал;600x1800x600+боковые стенки;418,84 €;97,24 €;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;42,84 €;672,92 €;43 739,80 ?;1 211,26 €;78 731,64 ?;;;
;Риттал;600x2000x600+боковые стенки;433,67 €;110,06 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;46,92 €;775,65 €;50 417,25 ?;1 396,17 €;90 751,05 ?;;;
;Риттал;600x2200x600+боковые стенки;494,92 €;117,98 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;51,00 €;848,90 €;55 178,50 ?;1 528,02 €;99 321,30 ?;;;
;Риттал;800x1800x600+боковые стенки;537,39 €;107,64 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;51,00 €;881,03 €;57 266,95 ?;1 585,85 €;103 080,51 ?;;;
;Риттал;800x2000x600+боковые стенки;462,99 €;110,06 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;55,76 €;813,81 €;52 897,65 ?;1 464,86 €;95 215,77 ?;;;
;Риттал;800x2200x600+боковые стенки;524,99 €;117,98 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;60,52 €;888,49 €;57 751,85 ?;1 599,28 €;103 953,33 ?;;;
;Риттал;1000x2000x600+боковые стенки;604,25 €;110,07 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;64,60 €;963,92 €;62 654,80 ?;1 735,06 €;112 778,64 ?;;;
;Риттал;1200x1800x600+боковые стенки;690,40 €;107,64 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;67,32 €;1 050,36 €;68 273,40 ?;1 890,65 €;122 892,12 ?;;;
;Риттал;1200x2000x600+боковые стенки;671,78 €;110,07 €;11,00 €;11,00 €;180,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;73,44 €;1 080,29 €;70 218,85 ?;1 944,52 €;126 393,93 ?;;;
;Риттал;1200x2200x600+боковые стенки;760,50 €;117,98 €;11,00 €;11,00 €;180,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;79,56 €;1 183,04 €;76 897,60 ?;2 129,47 €;138 415,68 ?;;;
;Риттал;600x2000x800+боковые стенки;578,53 €;129,45 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;55,76 €;948,74 €;61 668,10 ?;1 707,73 €;111 002,58 ?;;;
;Риттал;800x2000x800+боковые стенки;518,63 €;129,45 €;11,00 €;11,00 €;140,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;65,28 €;898,36 €;58 393,40 ?;1 617,05 €;105 108,12 ?;;;
;Риттал;1200x2000x800+боковые стенки;783,36 €;129,45 €;11,00 €;11,00 €;180,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;84,32 €;1 222,13 €;79 438,45 ?;2 199,83 €;142 989,21 ?;;;
