серия TL;ПРОИЗВОДИТЕЛЬ;РАЗМЕРЫ Ш*В*Г;ЦЕНА В ЕВРО НДС;Дополнительно к шкафу панель нижняя или боковые стенки;ТЕРМОСТАТ DBK охлождение;ТЕРМОСТАТ DBK ОБОГРЕВ;ОБОГРЕВ по мощности см.артикул послед 2-3 цифры;РЕШЕТКА ФИЛЬТР DBK;Вентилятор N/N;Железная решотка защита вентилятора;Розетка на Din реку;Автомат на Din реку;Клейммы;DIN рейка +метизы;Утеплитель;ЦЕНА В ЕВРО ЗАКУПКА;ЦЕНА В РУБ. ЗАКУПКА;ЦЕНА В ЕВРО РОЗНИЦА;ЦЕНА В РУБ. Розница;;;КУРС ЕВРО
;Риттал;800x1800x600+боковые стенки;537,39 €;107,64 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;51,00 €;854,03 €;55 511,95 ?;1 537,25 €;99 921,51 ?;;;
;Риттал;800x2000x600+боковые стенки;462,99 €;110,06 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;55,76 €;786,81 €;51 142,65 ?;1 416,26 €;92 056,77 ?;;;
;Риттал;800x2200x600+боковые стенки;524,99 €;117,98 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;60,52 €;861,49 €;55 996,85 ?;1 550,68 €;100 794,33 ?;;;
;Риттал;1000x2000x600+боковые стенки;604,25 €;110,07 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;64,60 €;936,92 €;60 899,80 ?;1 686,46 €;109 619,64 ?;;;
;Риттал;1200x1800x600+боковые стенки;690,40 €;107,64 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;67,32 €;1 023,36 €;66 518,40 ?;1 842,05 €;119 733,12 ?;;;
;Риттал;1200x2000x600+боковые стенки;671,78 €;110,07 €;;11,00 €;180,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;73,44 €;1 053,29 €;68 463,85 ?;1 895,92 €;123 234,93 ?;;;
;Риттал;1200x2200x600+боковые стенки;760,50 €;117,98 €;;11,00 €;180,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;79,56 €;1 156,04 €;75 142,60 ?;2 080,87 €;135 256,68 ?;;;
;Риттал;600x2000x800+боковые стенки;578,53 €;129,45 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;55,76 €;921,74 €;59 913,10 ?;1 659,13 €;107 843,58 ?;;;
;Риттал;800x2000x800+боковые стенки;518,63 €;129,45 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;65,28 €;871,36 €;56 638,40 ?;1 568,45 €;101 949,12 ?;;;
;Риттал;1200x2000x800+боковые стенки;783,36 €;129,45 €;;11,00 €;180,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;84,32 €;1 195,13 €;77 683,45 ?;2 151,23 €;139 830,21 ?;;;
